Datum;Zeit;Lot-Nr.;Subsystem;Ereignis & Massnahme;Visum
2024-04-02;16:35:00;338300003;52003.001;Datenlogging deaktiviert;G.L.
2024-06-08;22:18:00;343300008;52003.001;Schmierintervall automatisch ausgelöst;F.J.
2024-01-10;17:04:00;383300013;52003.001;Farbanalyse abweichend;G.L.
2024-03-07;08:37:00;353300018;52003-001;Prozessanalyse läuft;H.K.
2024-07-21;11:55:00;247200006;52003.001;Hauptschalter neu gestartet;F.J.
2024-01-18;10:00:00;331300023;52003.001;Visuelle Kontrolle durchgeführt;A.S.
2024-12-16;15:11:00;323300027;52003.001;Prozessanalyse läuft;D.R.
2024-06-28;04:10:00;316300032;52003.001;Musterung erfolgreich abgeschlossen;G.L.
2024-04-11;02:58:00;259200009;52003-001;Not-Aus betätigt;A.S.
2024-01-09;09:19:00;331300034;52003_001;Nacharbeit angeordnet;D.R.
2024-06-04;12:53:00;260200017;52003_001;Rutschweg kontrolliert;A.S.
2024-07-28;06:10:00;357300036;52003_001;Speicherplatz kritisch;A.S.
2024-07-08;23:49:00;211200019;52003.OO1;Rutschweg kontrolliert;D.R.
2024-01-23;04:09:00;392300037;52003.001;Referenzteil verglichen;F.J.
2024-12-03;17:07:00;389300042;52003.001;Alarmgrenze überschritten;A.S.
2024-07-18;15:18:00;376300046;52003.001;Fehlerrate dokumentiert;M.M.
2024-08-23;08:57:00;297200021;52003.001;Kontrollintervall verkürzt;G.L.
2024-09-13;00:28:00;343300050;52003.001;Rutschweg kontrolliert;B.T.
2024-04-12;17:14:00;362300052;52003.001;Schnittstellenfehler quittiert;A.S.
2024-11-15;01:23:00;321300055;52003.001;Schnittstelle Ethernet aktiviert;G.L.
2024-05-05;10:26:00;350300059;52003.001;Anlage lief ohne Teile;D.R.
2024-04-24;20:01:00;351300060;52003.001;Teilegewicht über Soll;E.H.
2024-12-15;18:12:00;317300062;52003_001;Rutschweg kontrolliert;C.M.
2024-08-27;11:41:00;389300064;52003.001;Schichtübergabe dokumentiert;B.T.
2024-11-26;10:03:00;367300065;52003.001;Achsabweichung festgestellt;C.M.
2024-10-27;05:39:00;380300069;52003.001;Trichterheizung angepasst;B.T.
2024-03-10;11:11:00;388300074;52003.001;Heizzone abgeschaltet;B.T.
2024-01-07;04:32:00;367300078;52003.001;Neuer Auftrag geladen;B.T.
2024-11-09;02:05:00;374300081;52003.001;Anlage lief ohne Teile;G.L.
2024-09-28;18:36:00;326300086;52003.001;OEE-Check durchgeführt;E.H.
2024-08-09;15:47:00;358300087;52003.001;Schmierintervall automatisch ausgelöst;M.M.
2024-04-11;01:32:00;320300088;52003.001;Fehlerrate dokumentiert;M.M.
2024-11-04;22:55:00;266200025;52003.001;Versatz im Werkzeug festgestellt;G.L.
2024-01-19;09:48:00;330300093;52003.001;Produktionsstopp auf Bedienerwunsch;G.L.
2024-06-17;16:52:00;390300095;52003.001;Einrichter informiert;C.M.
2024-05-24;22:06:00;366300096;52003.001;Nacharbeit angeordnet;C.M.
2024-07-29;02:47:00;369300101;52003.001;Hydraulikleck festgestellt;D.R.
2024-06-17;15:00:00;240200033;52003.001;Kombinierter Prozessfehler;D.R.
2024-07-16;09:41:00;393300106;52003.001;Speicherplatz freigegeben;N.W.
2024-10-15;12:26:00;399300111;52003.001;Wartung durchgeführt;F.J.
2024-03-22;11:25:00;328300114;52003.001;Visuelle Kontrolle durchgeführt;H.K.
2024-05-14;00:24:00;397300115;52003.001;Sicherheitscheck erfolgreich;N.W.
2024-02-25;03:16:00;335300117;52003.001;Luftventil gewechselt;F.J.
2024-04-20;08:49:00;339300119;52003.OO1;Verzug in X-Richtung;E.H.
2024-05-12;19:41:00;370300122;52003.001;Fehlermeldung an Kernzug;F.J.
2024-11-01;07:40:00;337300127;52003.001;Kühlkreislauf verstopft;H.K.
2024-11-04;19:29:00;327300132;52003.001;Fehlwurf erkannt;N.W.
2024-12-25;23:39:00;339300137;52003.001;Luftventil gewechselt;F.J.
2024-05-10;11:57:00;357300139;52003.001;Fehlteil durch Sensor detektiert;N.W.
2024-12-19;07:36:00;350300144;52003.001;Kontrollintervall verlängert;H.K.
2024-11-09;12:01:00;333300148;52003.001;Not-Aus betätigt;E.H.
2024-12-16;04:42:00;394300150;52003.001;Verzug in Y-Richtung;D.R.
2024-05-05;20:29:00;225200037;52003.001;Teilekorb gewechselt;F.J.
2024-10-05;19:51:00;383300153;52003.001;Abkühlzeit verlängert;H.K.
2024-08-11;04:26:00;384300155;52003.001;Fehlerhafte Thermoelementmessung;N.W.
2024-10-03;03:56:00;376300158;52003.001;Verunreinigung im Werkzeug;M.M.
2024-06-29;13:22:00;374300159;52003.001;PQ abgeschlossen;A.S.
2024-03-07;10:49:00;335300161;52003.001;Prozessstörung quittiert;G.L.
2024-07-28;20:58:00;323300166;52003.001;Feuchtigkeit im Granulat zu hoch;G.L.
2024-09-20;10:32:00;389300167;52003.001;IO-Test fehlgeschlagen;H.K.
2024-10-05;05:14:00;394300171;52003.001;Fehlteil durch Sensor detektiert;N.W.
2024-08-27;08:36:00;224200038;52003.001;Mischverhältnis fehlerhaft;E.H.
2024-09-13;00:10:00;347300174;52003.OO1;Luftventil gewechselt;E.H.
2024-04-21;23:23:00;356300177;52003.001;Zählwerk zurückgesetzt;M.M.
2024-01-08;09:22:00;362300181;52003.001;Wartungsintervall überschritten;C.M.
2024-06-04;16:07:00;333300186;52003.001;Nadelverschluss klemmt;M.M.
2024-06-12;11:42:00;342300189;52003.001;Ausschuss dokumentiert;E.H.
2024-05-11;16:18:00;310300190;52003.001;Trockner überprüft;C.M.
2024-04-08;05:57:00;365300192;52003.001;Fehlerrate dokumentiert;C.M.
2024-10-25;16:54:00;376300193;52003.001;Schmierintervall automatisch ausgelöst;F.J.
2024-04-16;20:23:00;392300195;52003.001;Heisskanaltemperatur instabil;M.M.
2024-07-24;18:08:00;245200040;52003.001;Labeldruck angepasst;B.T.
2024-09-03;05:44:00;354300198;52003_001;Vorserie beendet;N.W.
2024-05-15;13:05:00;367300200;52003.001;Kombinierter Prozessfehler;C.M.
2024-07-12;13:03:00;212200050;52003.001;Trichterheizung angepasst;M.M.
2024-07-02;22:09:00;374300202;52003.001;PQ gestartet;M.M.
2024-11-15;20:10:00;367300203;52003.OO1;Feuchtigkeit im Granulat zu hoch;E.H.
2024-06-21;07:10:00;353300206;52003.001;Sperrzeit verlängert;E.H.
2024-02-28;02:02:00;358300207;52003.001;Alarmgrenze überschritten;A.S.
2024-07-18;18:23:00;314300211;52003.001;Profilgrenzen neu gesetzt;B.T.
2024-02-03;00:34:00;347300215;52003.001;IO-Test fehlgeschlagen;N.W.
2024-08-26;19:37:00;345300220;52003.001;Kontrollintervall verkürzt;F.J.
2024-12-19;00:51:00;372300222;52003.001;OQ abgeschlossen;C.M.
2024-10-07;10:04:00;279200052;52003.001;Farbanalyse abweichend;H.K.
2024-02-15;08:49:00;387300224;52003.001;Teilezählung angepasst;M.M.
2024-11-23;18:42:00;323300225;52003.001;Nachbearbeitung notwendig;N.W.
2024-06-12;02:55:00;231200054;52003.001;Stammdaten aktualisiert;M.M.
2024-01-10;05:03:00;347300228;52003.OO1;Wartungsintervall überschritten;B.T.
2024-02-14;01:01:00;275200063;52003.001;Verunreinigung entfernt;M.M.
2024-09-30;20:11:00;341300232;52003.001;Energieverbrauch erhöht;E.H.
2024-10-23;23:02:00;390300234;52003.001;Düse gereinigt;E.H.
2024-12-16;17:05:00;353300238;52003.001;Prozessdaten gesichert;C.M.
2024-04-17;20:17:00;344300240;52003.001;Spritzdruckabweichung festgestellt;M.M.
2024-09-06;16:43:00;312300241;52003.001;Sperrzeit verlängert;F.J.
2024-08-11;01:36:00;380300245;52003.001;Reinigung Zyklus durchgeführt;F.J.
2024-10-30;22:45:00;326300246;52003.001;Material unterhitzt;C.M.
2024-02-06;01:51:00;337300251;52003.001;Alarmgrenze unterschritten;G.L.
2024-07-30;08:15:00;350300252;52003.001;Kameraparameter angepasst;E.H.
2024-04-05;15:33:00;218200072;52003.001;Hochlauf durchgeführt;E.H.
2024-10-18;18:20:00;382300255;52003.001;Vakuumfunktion überprüft;D.R.
2024-06-21;18:46:00;397300260;52003.001;Softwareupdate durchgeführt;C.M.
2024-09-17;19:41:00;326300261;52003.OO1;Handlingdaten korrigiert;D.R.
2024-03-04;07:58:00;210200080;52003.001;Linienabweichung in Bild;N.W.
2024-03-13;11:45:00;273200083;52003.001;Sperrzeit reduziert;E.H.
2024-06-21;07:06:00;292200090;52003.001;Netzwerkverbindung instabil;F.J.
2024-10-02;03:53:00;338300263;52003.OO1;Granulat nachgefüllt;M.M.
2024-04-10;14:14:00;349300264;52003.001;Hardware-Check erfolgreich;H.K.
2024-08-30;19:06:00;338300265;52003.001;Teilegewicht über Soll;G.L.
2024-05-03;17:49:00;277200100;52003.OO1;Stammdaten aktualisiert;E.H.
2024-10-21;15:45:00;374300267;52003.001;Mischverhältnis fehlerhaft;F.J.
2024-10-05;12:19:00;333300269;52003.001;Stammdaten aktualisiert;F.J.
2024-10-08;14:31:00;335300272;52003.001;Füllstand zu hoch;G.L.
2024-11-09;05:40:00;375300277;52003.001;Druckaufbau zu langsam;E.H.
2024-11-30;18:57:00;268200103;52003.001;Werkzeug poliert (automatisch);E.H.
2024-12-20;18:25:00;397300282;52003.001;Linienabweichung in Bild;M.M.
2024-12-03;14:56:00;323300284;52003.001;Not-Aus betätigt;C.M.
2024-02-23;06:13:00;348300285;52003.001;Spritzzeit verlängert sich;H.K.
2024-06-29;11:54:00;322300290;52003.001;Spritzaggregat fährt nicht ein;G.L.
2024-10-17;10:06:00;368300293;52003.001;Spritzaggregat fährt nicht ein;F.J.
2024-04-06;21:14:00;394300295;52003.001;Messwertabweichung analysiert;G.L.
2024-06-03;01:32:00;386300297;52003.001;Handling-Fehlermeldung quittiert;B.T.
2024-10-27;12:18:00;375300299;52003.001;Handling neu referenziert;M.M.
2024-04-15;06:24:00;393300304;52003.001;Teilegewicht unter Soll;G.L.
2024-09-20;19:07:00;368300307;52003-001;Qualitätsabweichung erkannt;E.H.
2024-12-19;08:16:00;219200113;52003.001;Materialförderung gestoppt;M.M.
2024-10-15;16:10:00;390300311;52003.001;Ausschuss dokumentiert;D.R.
2024-05-11;14:16:00;387300312;52003.001;Visuelle Kontrolle durchgeführt;A.S.
2024-03-13;09:58:00;314300317;52003.001;Teilezählung angepasst;F.J.
2024-12-21;19:45:00;364300322;52003.001;Werkzeugdaten korrigiert;G.L.
2024-07-20;18:50:00;256200123;52003.001;Messwertabweichung analysiert;E.H.
2024-08-08;21:05:00;379300323;52003.001;Softwareupdate durchgeführt;F.J.
2024-08-21;21:43:00;212200127;52003.001;Rüstzeit verkürzt;C.M.
2024-04-19;06:01:00;292200136;52003.001;Nachbearbeitung notwendig;C.M.
2024-01-11;11:24:00;275200138;52003.001;Temperaturregelung optimiert;D.R.
2024-12-12;23:30:00;338300328;52003.001;Ersteinstellung durch Anwendungstechniker;B.T.
2024-09-08;09:56:00;343300333;52003.001;Fehlwurf erkannt;C.M.
2024-09-13;18:54:00;352300336;52003.001;Rüstzeit verkürzt;G.L.
2024-08-11;04:53:00;318300341;52003.001;Spannungsschwankung festgestellt;H.K.
2024-09-19;13:31:00;376300346;52003.001;Datenlogging deaktiviert;E.H.
2024-04-11;08:48:00;350300349;52003.001;Vorlauf geprüft;H.K.
2024-10-07;05:46:00;330300353;52003.001;Kühlkreislauf gereinigt;C.M.
2024-07-03;14:30:00;339300357;52003.001;Schmierintervall manuell ausgelöst;F.J.
2024-06-09;17:52:00;320300360;52003.001;Fehlerrate dokumentiert;M.M.
2024-12-04;10:35:00;326300363;52003.001;Automatischer Neustart;E.H.
2024-06-17;18:21:00;220200143;52003.OO1;OQ gestartet;C.M.
2024-04-04;06:33:00;345300367;5203.001;Hochlauf durchgeführt;N.W.
2024-12-02;02:29:00;370300372;52003.001;Trichterheizung angepasst;B.T.
2024-03-25;05:29:00;220200145;52003.001;Endfreigabe dokumentiert;H.K.
2024-01-01;05:56:00;341300377;52003.001;Teilezählung angepasst;D.R.
2024-04-21;01:16:00;288200147;52003.OO1;Spritzdruckabweichung festgestellt;C.M.
2024-11-24;23:11:00;257200157;52003.001;Qualitätsabweichung erkannt;G.L.
2024-07-10;15:51:00;337300381;52003.001;Sicherheitscheck erfolgreich;D.R.
2024-04-20;05:50:00;359300385;52003.001;Qualitätsabweichung erkannt;D.R.
2024-11-25;21:42:00;386300388;52003.001;Produktionsstart nach Pause;G.L.
2024-04-30;15:36:00;336300392;52003.001;Zusatzkühlung eingeschaltet;N.W.
2024-03-24;05:48:00;379300393;52003.001;Schichtübergabe dokumentiert;E.H.
2024-01-05;18:26:00;391300397;52003.001;Profilabweichung erkannt;G.L.
2024-11-24;23:51:00;344300400;52003.001;Wartungsintervall überschritten;N.W.
2024-09-28;08:55:00;260200163;52003.001;Nadelhub asynchron;E.H.
2024-10-10;13:22:00;351300404;52003.001;Greifer musste neu eingestellt werden;H.K.
2024-01-11;13:32:00;360300407;52003.001;Zykluszeit verlängert aufgrund Störung;M.M.
2024-02-23;08:47:00;350300408;52003.001;Endfreigabe dokumentiert;C.M.
2024-01-31;05:31:00;242200165;52003.001;Einfallstellen sichtbar;B.T.
2024-07-10;05:56:00;355300411;52003_001;Freigabe durch Produktion;B.T.
2024-04-02;21:03:00;342300415;52003.001;IO-Test erfolgreich;F.J.
2024-09-22;05:01:00;367300417;52003.001;Werkzeug ausgebaut zur Reinigung;C.M.
2024-02-08;18:26:00;274200175;52003.001;Vorserie beendet;G.L.
2024-04-13;01:38:00;352300422;52003.001;Hochlauf durchgeführt;M.M.
2024-03-03;02:19:00;389300423;52003.001;Werkzeug ausgebaut zur Reinigung;E.H.
2024-08-16;21:09:00;397300428;52003-001;Anlage lief ohne Teile;B.T.
2024-02-09;23:40:00;330300432;52003.OO1;Reinigung Zyklus durchgeführt;G.L.
2024-12-16;21:26:00;350300436;52003_001;Messwertabweichung analysiert;E.H.
2024-04-22;04:09:00;347300441;52003-001;Alarmgrenze überschritten;C.M.
2024-12-10;17:46:00;313300446;52003.001;Maschine kalibriert;G.L.
2024-08-21;01:06:00;353300450;52003.001;Schnittstellenfehler quittiert;N.W.
2024-10-28;03:03:00;345300454;52003.001;Sicherheitsverriegelung aktiv;D.R.
2024-10-07;01:04:00;333300457;52003.001;Glanzgradabweichung festgestellt;B.T.
2024-01-19;17:12:00;330300458;52003.001;Etikettierung angepasst;F.J.
2024-12-23;03:47:00;376300460;52003.001;Auftragswechsel durchgeführt;H.K.
2024-01-03;20:37:00;329300463;52003_001;Zykluszeit verlängert aufgrund Störung;G.L.
2024-01-18;16:50:00;244200180;52003.001;Heisskanal neu abgestimmt;E.H.
2024-01-11;14:27:00;327300464;52003.001;Wartung durchgeführt;M.M.
2024-09-17;02:10:00;356300466;52003.001;Alarmgrenze überschritten;H.K.
2024-10-31;18:14:00;378300470;52003_001;OQ gestartet;H.K.
2024-03-27;01:31:00;331300471;52003.001;Fehlerhafte Thermoelementmessung;C.M.
2024-09-01;00:01:00;384300472;52003.001;Trockner überprüft;C.M.
2024-05-31;14:02:00;340300474;52003.001;Teilegewicht über Soll;F.J.
2024-07-05;16:39:00;350300476;52003.001;Wartungsintervall überschritten;M.M.
2024-03-03;02:18:00;322300480;52003.001;Labeldruck angepasst;D.R.
2024-04-29;18:36:00;287200189;52003.001;Rutschweg kontrolliert;A.S.
2024-03-04;19:15:00;357300484;52003_001;Rüstzeit verkürzt;D.R.
2024-11-28;17:25:00;397300486;52003.001;Nadelverschluss klemmt;C.M.
2024-12-29;10:16:00;361300487;52003.001;Feuchtigkeit im Granulat zu hoch;H.K.
2024-09-28;09:30:00;335300491;52003.001;Zählwerk zurückgesetzt;N.W.
2024-06-27;22:00:00;311300493;52003.001;Spritzdruckabweichung festgestellt;B.T.
2024-12-02;00:01:00;380300498;52003.001;Fehlerhafte Thermoelementmessung;G.L.
2024-04-07;03:29:00;364300503;52003.001;Reinigung Zyklus durchgeführt;B.T.
2024-10-21;12:04:00;377300505;52003.001;Teilezählung angepasst;F.J.
