Datum,Zeit,Lot-Nr.,Subsystem,Ereignis & Massnahme,Visum
2025-01-01,23:09,30983000,52003-001,Nach Lotwechsel: Produktion von Tube läuft stabil.,AP
2025-01-01,22:38,30983000,52003-001,"Reinigung Förderband, Teilefluss wieder ok.",AJ
2025-01-01,04:48,30983000,52003.001,"Reinigung Förderband, Teilefluss wieder ok.",WS
2025-01-01,10:31,30983000,52003-001,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",MR
2025-01-01,10:22,30983000,52003.001,Nach Lotwechsel: Produktion von Tube läuft stabil.,WS
2025-01-01,09:50,30983000,52003.001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",OM
2025-01-01,07:16,30983000,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",MR
2025-01-01,11:24,30983000,52003-001,"Störung: Auswerfer fährt nicht, Reset nötig.",GS
2025-01-01,17:33,30983000,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",PB
2025-01-01,19:52,30983000,52003O01,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",DN
2025-01-01,17:50,30983000,52003.001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",WS
2025-01-01,14:56,30983000,52003-001,Nach Lotwechsel: Produktion von Tube läuft stabil.,DR
2025-01-01,18:34,30983000,52003O01,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",SR
2025-01-02,02:23,30983000,52003-001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,GS
2025-01-02,22:03,30983000,52003-001,"Lot-Start: Kette für Tube eingeleitet, Rohmaterial geladen, Werkzeug geprüft, Serie freigegeben.",DN
2025-01-02,23:41,30983000,52003-001,Nach Lotwechsel: Produktion von Tube läuft stabil.,DR
2025-01-02,03:14,30983000,52003.001,Nach Lotwechsel: Produktion von Tube läuft stabil.,IS
2025-01-02,13:35,30983000,52003.001,"Lot-Beendet: Reinigung Tube, Werkzeugwechsel vorbereitet, alle Dokumente aktualisiert.",ML
2025-01-02,07:09,30983000,52003O01,"Heut wieder Farbwechsel, alles durcheinander, ich alles richtig gemacht.",EL
2025-01-02,12:12,30983000,52003-001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",SR
2025-01-02,13:19,30983000,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",AP
2025-01-02,19:17,30983000,52003O01,"Reinigung Förderband, Teilefluss wieder ok.",DR
2025-01-02,17:30,30983000,52003-001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,AP
2025-01-02,17:54,30983000,52003-001,Routinekontrolle Temperiergerät T1. Temperatur stabil.,WS
2025-01-02,14:32,30983000,52003-001,"Teileauswurf leicht verzögert, Mechanik geölt.",SK
2025-01-03,02:32,30983000,52003.001,"Reinigung Förderband, Teilefluss wieder ok.",SR
2025-01-03,02:25,30983000,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",DN
2025-01-03,23:41,30983000,52003.001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",MA
2025-01-03,03:46,30983000,52003-001,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,WS
2025-01-03,23:35,30983000,52003.001,"Reinigung Förderband, Teilefluss wieder ok.",PB
2025-01-03,22:53,30983000,52003-001,Routinekontrolle Temperiergerät T2. Temperatur stabil.,PB
2025-01-03,07:25,30983000,52003.001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",WS
2025-01-03,06:25,30983000,52003-001,"Reinigung Förderband, Teilefluss wieder ok.",OM
2025-01-03,08:28,30983000,52003.001,"Teileauswurf leicht verzögert, Mechanik geölt.",GS
2025-01-03,09:37,30983000,52003.001,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",MR
2025-01-03,07:07,30983000,52003O01,"Reinigung Förderband, Teilefluss wieder ok.",IS
2025-01-03,21:49,30983000,52003O01,"Vakuumleitung lose, hab wieder richtig gemacht, läuft.",EL
2025-01-03,18:49,30983000,52003-001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,AP
2025-01-03,17:39,30983000,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,EL
2025-01-03,20:33,30983000,52003-001,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",WS
2025-01-03,20:08,30983000,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",ML
2025-01-04,22:03,30983000,52003.001,"Lot-Start: Kette für Tube eingeleitet, Rohmaterial geladen, Werkzeug geprüft, Serie freigegeben.",AJ
2025-01-04,01:30,30983000,52003-001,Routinekontrolle Temperiergerät T1. Temperatur stabil.,GS
2025-01-04,22:45,30983000,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",AP
2025-01-04,02:15,30983000,52003-001,"Reinigung Förderband, Teilefluss wieder ok.",OM
2025-01-04,00:43,30983000,52003.001,Routinekontrolle Temperiergerät T3. Temperatur stabil.,ML
2025-01-04,06:13,30983000,52003-001,"Kollege hat heute alles bissel schmutzig gelassen, ich sauber gemacht.",IS
2025-01-04,13:30,30983000,52003-001,"Lot-Beendet: Reinigung Tube, Werkzeugwechsel vorbereitet, alle Dokumente aktualisiert.",MR
2025-01-04,13:41,30983000,52003-001,"Lot-Beendet: Reinigung Tube, Werkzeugwechsel vorbereitet, alle Dokumente aktualisiert.",SR
2025-01-04,13:11,30983000,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,ML
2025-01-04,13:42,30983000,52003-001,Masterbatchnachfüllung am Dosiergerät durchgeführt.,IS
2025-01-04,10:35,30983000,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",OM
2025-01-04,16:41,30983000,52003O01,"Teileauswurf leicht verzögert, Mechanik geölt.",SR
2025-01-04,20:02,30983000,52003.001,Prozessdaten NICHT verändert. Einstellungen fix!,IS
2025-01-04,17:46,30983000,52003-001,Routinekontrolle Temperiergerät T3. Temperatur stabil.,DR
2025-01-04,14:41,30983000,52003-001,"Störung: Auswerfer fährt nicht, Reset nötig.",AP
2025-01-04,20:05,30983000,52003.001,"Reinigung Förderband, Teilefluss wieder ok.",AJ
2025-01-04,17:22,30983000,52003-001,Nach Lotwechsel: Produktion von Tube läuft stabil.,MR
2025-01-05,00:25,30983000,52003-001,Prozessdaten NICHT verändert. Einstellungen fix!,GS
2025-01-05,05:03,30983000,52003.001,Nach Lotwechsel: Produktion von Tube läuft stabil.,SK
2025-01-05,05:19,30983000,52003-001,"Lot-Beendet: Reinigung Tube, Werkzeugwechsel vorbereitet, alle Dokumente aktualisiert.",SR
2025-01-05,02:45,30983000,52003O01,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",OM
2025-01-05,10:16,30983000,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",GS
2025-01-05,09:50,30983000,52003.001,"Reinigung Förderband, Teilefluss wieder ok.",EL
2025-01-05,12:12,30983000,52003.001,Prozessdaten NICHT verändert. Einstellungen fix!,DR
2025-01-05,21:53,30983000,52003O01,Masterbatchnachfüllung am Dosiergerät durchgeführt.,DR
2025-01-05,18:11,30983000,52003-001,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,SR
2025-01-05,14:31,30983000,52003.001,Prozessdaten NICHT verändert. Einstellungen fix!,MR
2025-01-05,18:35,30983000,52003-001,"Reinigung Förderband, Teilefluss wieder ok.",EL
2025-01-06,22:53,30983000,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,DR
2025-01-06,04:00,30983000,52003O01,"Störung: Auswerfer fährt nicht, Reset nötig.",EL
2025-01-06,04:37,30983000,52003-001,Nach Lotwechsel: Produktion von Tube läuft stabil.,AP
2025-01-06,04:00,30983000,52003.001,Routinekontrolle Temperiergerät T2. Temperatur stabil.,DN
2025-01-06,00:20,30983000,52003.001,Nach Lotwechsel: Produktion von Tube läuft stabil.,OM
2025-01-06,00:31,30983000,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",MR
2025-01-06,10:22,30983000,52003.001,"Teileauswurf leicht verzögert, Mechanik geölt.",FS
2025-01-06,09:20,30983000,52003O01,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",AP
2025-01-06,08:00,30983000,52003-001,Routinekontrolle Temperiergerät T2. Temperatur stabil.,ML
2025-01-06,10:44,30983000,52003O01,"Teileauswurf leicht verzögert, Mechanik geölt.",AP
2025-01-06,10:39,30983000,52003-001,Masterbatchnachfüllung am Dosiergerät durchgeführt.,WS
2025-01-06,18:57,30983000,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,PB
2025-01-06,18:07,30983000,52003.001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",AJ
2025-01-06,20:56,30983000,52003.001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",AP
2025-01-07,00:59,30983000,52003.001,"Vakuumförderung Material kurz gestört, Leitung geprüft und gesäubert.",PB
2025-01-07,22:26,30983000,52003.001,"Lot-Start: Kette für Tube eingeleitet, Rohmaterial geladen, Werkzeug geprüft, Serie freigegeben.",FS
2025-01-07,05:12,30983000,52003.001,Prozessdaten NICHT verändert. Einstellungen fix!,IS
2025-01-07,10:48,30983000,52003.001,Nach Lotwechsel: Produktion von Tube läuft stabil.,PB
2025-01-07,11:03,30983000,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",IS
2025-01-07,09:42,30983000,52003O01,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,IS
2025-01-07,14:16,30983000,52003O01,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",SR
2025-01-07,15:23,30983000,52003.001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",SR
2025-01-07,21:15,30983000,52003-001,Routinekontrolle Temperiergerät T4. Temperatur stabil.,DN
2025-01-08,03:54,30983017,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",SR
2025-01-08,04:19,30983017,52003-001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",EL
2025-01-08,03:34,30983017,52003-001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,PB
2025-01-08,00:31,30983017,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,GS
2025-01-08,22:06,30983017,52003.001,"Heut wieder Farbwechsel, alles durcheinander, ich alles richtig gemacht.",EL
2025-01-08,22:13,30983017,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",OM
2025-01-08,07:25,30983017,52003-001,Prozessdaten NICHT verändert. Einstellungen fix!,FS
2025-01-08,06:25,30983017,52003-001,"Teileauswurf leicht verzögert, Mechanik geölt.",IS
2025-01-08,11:02,30983017,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,MA
2025-01-08,11:19,30983017,52003.001,Nach Lotwechsel: Produktion von Tip läuft stabil.,GS
2025-01-08,18:49,30983017,52003-001,"Operator meldet Farbumschlag nicht sauber, Gerät gereinigt.",GS
2025-01-08,14:29,30983017,52003-001,"Lot-Start: Kette für Tip eingeleitet, Rohmaterial geladen, Werkzeug geprüft, Serie freigegeben.",EL
2025-01-08,17:30,30983017,52003-001,"Reinigung Förderband, Teilefluss wieder ok.",WS
2025-01-08,15:44,30983017,52003.001,"Lotnummer wieder falsch, hab verbessert, passt jetz.",EL
2025-01-08,16:57,30983017,52003.001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",PB
2025-01-09,04:42,30983017,52003-001,"Störung: Düse leckt minimal, kurzer Stillstand zum Abdichten.",ML
2025-01-09,04:20,30983017,52003.001,Nach Lotwechsel: Produktion von Tip läuft stabil.,AJ
2025-01-09,00:51,30983017,52003-001,"Reinigung Förderband, Teilefluss wieder ok.",EL
2025-01-09,10:40,30983017,52003.001,"Teileauswurf leicht verzögert, Mechanik geölt.",SK
2025-01-09,09:31,30983017,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",SR
2025-01-09,06:54,30983017,52003O01,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,FS
2025-01-09,13:41,30983017,52003.001,"Qualifizierung OQ/PQ: Werte dokumentiert, alles im grünen Bereich.",FS
2025-01-09,09:06,30983017,52003.001,"Teileauswurf leicht verzögert, Mechanik geölt.",WS
2025-01-09,18:47,30983017,52003.001,"Störung: Auswerfer fährt nicht, Reset nötig.",DN
2025-01-09,20:07,30983017,52003-001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",OM
2025-01-09,20:42,30983017,52003-001,"Musterung: Spezialteam Process Engineering prüft, Serie noch nicht freigegeben.",FS
2025-01-10,03:01,30983017,52003-001,Prozessdaten NICHT verändert. Einstellungen fix!,GS
2025-01-10,02:15,30983017,52003.001,Masterbatchnachfüllung am Dosiergerät durchgeführt.,MA
2025-01-10,03:39,30983017,52003-001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,EL
2025-01-10,03:36,30983017,52003-001,Prozessdaten minimal angepasst wegen Störung (Genehmigung liegt vor).,DR
2025-01-10,00:30,30983017,52003-001,Nach Lotwechsel: Produktion von Tip läuft stabil.,SK
2025-01-10,01:48,30983017,52003.001,Schmierzyklus durchgeführt. Keine Auffälligkeiten.,GS
